ts,cash,equity,open_positions,exposure
2024-05-01 00:00:00+00:00,303.12,113332.21,3,113029.09
2024-05-02 00:00:00+00:00,303.12,114974.56,3,114671.44
2024-05-03 00:00:00+00:00,303.12,118429.79,3,118126.67
2024-05-06 00:00:00+00:00,303.12,118922.82,3,118619.7
2024-05-07 00:00:00+00:00,303.12,119118.74,3,118815.62
2024-05-08 00:00:00+00:00,303.12,119170.41,3,118867.29
2024-05-09 00:00:00+00:00,303.12,119874.32,3,119571.2
2024-05-10 00:00:00+00:00,303.12,119700.87,3,119397.75
2024-05-13 00:00:00+00:00,303.12,120481.63,3,120178.51
2024-05-14 00:00:00+00:00,303.12,121170.51,3,120867.39
2024-05-15 00:00:00+00:00,303.12,122793.9,3,122490.78
2024-05-16 00:00:00+00:00,40472.19,122763.48,2,82291.29
2024-05-17 00:00:00+00:00,40472.19,122801.76,2,82329.57
2024-05-20 00:00:00+00:00,40472.19,123138.53,2,82666.34
2024-05-21 00:00:00+00:00,40472.19,123320.51,2,82848.32
2024-05-22 00:00:00+00:00,81311.81,123237.13,1,41925.32
2024-05-23 00:00:00+00:00,81311.81,123048.53,1,41736.72
2024-05-24 00:00:00+00:00,81311.81,123443.21,1,42131.4
2024-05-28 00:00:00+00:00,81311.81,123602.37,1,42290.56
2024-05-29 00:00:00+00:00,123195.02,123195.02,0,0.0
2024-05-30 00:00:00+00:00,123195.02,123195.02,0,0.0
2024-05-31 00:00:00+00:00,123195.02,123195.02,0,0.0
2024-06-03 00:00:00+00:00,123195.02,123195.02,0,0.0
2024-06-04 00:00:00+00:00,123195.02,123195.02,0,0.0
2024-06-05 00:00:00+00:00,123195.02,123195.02,0,0.0
2024-06-06 00:00:00+00:00,123195.02,123195.02,0,0.0
2024-06-07 00:00:00+00:00,123195.02,123195.02,0,0.0
2024-06-10 00:00:00+00:00,123195.02,123195.02,0,0.0
2024-06-11 00:00:00+00:00,123195.02,123195.02,0,0.0
2024-06-12 00:00:00+00:00,123195.02,123195.02,0,0.0
2024-06-13 00:00:00+00:00,123195.02,123195.02,0,0.0
2024-06-14 00:00:00+00:00,123195.02,123195.02,0,0.0
2024-06-17 00:00:00+00:00,123195.02,123195.02,0,0.0
2024-06-18 00:00:00+00:00,123195.02,123195.02,0,0.0
2024-06-20 00:00:00+00:00,123195.02,123195.02,0,0.0
2024-06-21 00:00:00+00:00,123195.02,123195.02,0,0.0
2024-06-24 00:00:00+00:00,123195.02,123195.02,0,0.0
2024-06-25 00:00:00+00:00,123195.02,123195.02,0,0.0
2024-06-26 00:00:00+00:00,123195.02,123195.02,0,0.0
2024-06-27 00:00:00+00:00,123195.02,123195.02,0,0.0
2024-06-28 00:00:00+00:00,123195.02,123195.02,0,0.0
2024-07-01 00:00:00+00:00,123195.02,123195.02,0,0.0
2024-07-02 00:00:00+00:00,123195.02,123195.02,0,0.0
2024-07-03 00:00:00+00:00,123195.02,123195.02,0,0.0
2024-07-05 00:00:00+00:00,123195.02,123195.02,0,0.0
2024-07-08 00:00:00+00:00,123195.02,123195.02,0,0.0
2024-07-09 00:00:00+00:00,123195.02,123195.02,0,0.0
2024-07-10 00:00:00+00:00,123195.02,123195.02,0,0.0
2024-07-11 00:00:00+00:00,123195.02,123195.02,0,0.0
2024-07-12 00:00:00+00:00,123195.02,123195.02,0,0.0
